n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
25,1.2,long,high,46,M1 Opt,2,28.0,0.3217020034790039,0.35901904106140137,14,14,1029,1992
50,1.0,short,low,42,M1 Base,2,20.0,201.0194389820099,201.3276858329773,10,"[(0, 33), (1, 0), (2, 49), (3, 25), (6, 2), (6, 40), (7, 48), (14, 7), (14, 12), (37, 45)]",7150,12850
50,1.0,short,low,42,M1 Opt,2,20.0,0.7587170600891113,0.86604905128479,10,10,3776,7045
50,1.0,short,low,43,M1 Base,9,20.0,900.0411930084229,900.2747128009796,10,"[(0, 49), (1, 9), (1, 48), (2, 0), (2, 47), (3, 33), (5, 5), (7, 18), (8, 44), (11, 13)]",6850,12050
50,1.0,short,low,43,M1 Opt,2,20.0,7.521066904067993,7.632888078689575,10,10,3772,6933
50,1.0,short,low,44,M1 Base,2,18.0,55.9369170665741,56.21932101249695,9,"[(0, 0), (0, 2), (1, 48), (2, 44), (2, 49), (4, 45), (6, 16), (7, 29), (10, 24)]",7050,12650
50,1.0,short,low,44,M1 Opt,2,18.0,1.3720579147338867,1.4873998165130615,9,9,3795,7040
50,1.0,short,low,45,M1 Base,2,18.0,22.811432123184204,23.064248085021973,9,"[(0, 0), (0, 49), (1, 23), (1, 34), (3, 45), (9, 2), (11, 12), (13, 47), (15, 48)]",7100,12800
50,1.0,short,low,45,M1 Opt,2,18.0,0.9177391529083252,1.032559871673584,9,9,3840,7237
50,1.0,short,low,46,M1 Base,2,20.0,675.277673959732,675.5296709537506,10,"[(0, 36), (1, 0), (3, 48), (3, 49), (4, 6), (4, 35), (5, 4), (7, 9), (9, 14), (11, 27)]",6750,12350
50,1.0,short,low,46,M1 Opt,2,20.0,1.5451700687408447,1.6588149070739746,10,10,3475,6492
50,1.0,short,high,42,M1 Base,9,27.0,900.0256640911102,900.3501451015472,13,"[(0, 46), (1, 0), (1, 32), (2, 48), (3, 49), (6, 33), (9, 25), (10, 21), (12, 34), (14, 23), (14, 30), (35, 25), (37, 4), (40, 16)]",7150,12850
50,1.0,short,high,42,M1 Opt,2,27.0,9.21594500541687,9.37362790107727,13,14,3776,7045
50,1.0,short,high,43,M1 Base,2,31.0,198.27165412902832,198.48453092575073,15,"[(0, 22), (1, 37), (1, 47), (2, 45), (2, 46), (3, 49), (6, 14), (7, 4), (7, 11), (8, 41), (17, 40), (19, 26), (26, 43), (31, 29), (34, 36), (41, 40)]",6850,12050
50,1.0,short,high,43,M1 Opt,2,31.0,15.491651058197021,15.601104021072388,15,16,3772,6933
50,1.0,short,high,44,M1 Base,2,29.0,48.65265893936157,48.91133713722229,14,"[(0, 4), (0, 49), (1, 12), (2, 10), (4, 3), (4, 17), (4, 35), (6, 42), (6, 45), (7, 8), (9, 46), (10, 37), (11, 34), (16, 44), (29, 49)]",7050,12650
50,1.0,short,high,44,M1 Opt,2,29.0,9.128641128540039,9.256987810134888,14,15,3853,7166
50,1.0,short,high,45,M1 Base,2,24.0,16.29532289505005,16.544469356536865,12,"[(0, 5), (0, 31), (1, 0), (1, 2), (1, 20), (3, 34), (4, 4), (6, 48), (9, 49), (12, 40), (15, 30), (17, 26)]",7100,12800
50,1.0,short,high,45,M1 Opt,2,24.0,2.934201955795288,3.052031993865967,12,12,3840,7237
50,1.0,short,high,46,M1 Base,9,28.0,900.0161759853363,900.2272050380707,13,"[(0, 25), (1, 6), (1, 10), (1, 28), (3, 1), (4, 35), (5, 47), (6, 0), (6, 34), (7, 49), (8, 2), (9, 46), (17, 6), (23, 38), (45, 49)]",6600,12000
50,1.0,short,high,46,M1 Opt,2,28.0,6.5288591384887695,6.675959825515747,13,15,3383,6276
50,1.0,long,low,42,M1 Base,9,30.0,900.0360260009766,900.358057975769,15,"[(1, 32), (1, 49), (3, 13), (4, 48), (6, 47), (13, 2), (14, 34), (16, 0), (16, 42), (17, 1), (17, 4), (18, 5), (18, 40), (29, 35), (40, 36)]",6850,12650
50,1.0,long,low,42,M1 Opt,9,30.0,900.0126140117645,900.1582560539246,15,15,3640,6927
50,1.0,long,low,43,M1 Base,9,30.0,900.017904996872,900.261351108551,15,"[(0, 48), (1, 0), (1, 1), (2, 14), (2, 49), (3, 34), (5, 25), (7, 12), (8, 26), (11, 4), (13, 10), (20, 29), (22, 33), (24, 35), (33, 8)]",7100,12900
50,1.0,long,low,43,M1 Opt,9,30.0,900.0117621421814,900.1455931663513,15,15,3777,7090
50,1.0,long,low,44,M1 Base,9,32.0,900.0162770748138,900.2633867263794,16,"[(0, 31), (0, 49), (1, 0), (2, 47), (3, 10), (3, 46), (3, 48), (4, 35), (4, 45), (6, 4), (6, 14), (6, 43), (10, 42), (12, 41), (14, 1), (19, 5)]",7150,13050
50,1.0,long,low,44,M1 Opt,9,32.0,900.0150718688965,900.1351912021637,16,16,4035,7728
50,1.0,long,low,45,M1 Base,9,32.0,900.0241129398346,900.2762968540192,16,"[(0, 33), (0, 40), (1, 1), (1, 48), (1, 49), (4, 4), (4, 46), (5, 9), (5, 19), (6, 22), (9, 44), (11, 38), (16, 47), (17, 34), (39, 37), (42, 0)]",7400,13800
50,1.0,long,low,45,M1 Opt,2,32.0,70.2074511051178,70.32908892631531,16,16,3937,7604
50,1.0,long,low,46,M1 Base,2,34.0,81.65847086906433,81.9036910533905,17,"[(0, 49), (1, 20), (2, 36), (3, 38), (4, 31), (4, 37), (6, 27), (6, 39), (7, 0), (7, 45), (11, 40), (21, 11), (21, 41), (21, 48), (25, 17), (29, 26), (48, 33)]",7050,13150
50,1.0,long,low,46,M1 Opt,2,34.0,1.0527820587158203,1.1563971042633057,17,17,3657,7026
50,1.0,long,high,42,M1 Base,9,40.0,900.0172960758209,900.286034822464,20,"[(1, 0), (1, 47), (2, 9), (3, 28), (4, 7), (5, 36), (6, 41), (6, 49), (10, 48), (14, 4), (14, 17), (16, 5), (16, 44), (17, 45), (17, 46), (22, 35), (24, 23), (31, 43), (36, 29), (40, 31)]",6850,12650
50,1.0,long,high,42,M1 Opt,9,40.0,900.01518201828,900.1224298477173,20,20,3640,6927
50,1.0,long,high,43,M1 Base,2,44.0,305.63115787506104,305.88469409942627,22,"[(0, 0), (1, 1), (1, 43), (2, 2), (2, 3), (3, 20), (5, 46), (6, 24), (7, 4), (7, 11), (8, 5), (11, 8), (13, 25), (16, 28), (17, 6), (17, 18), (19, 7), (26, 47), (31, 39), (31, 49), (34, 34), (39, 15)]",7100,12900
50,1.0,long,high,43,M1 Opt,2,44.0,26.637422800064087,26.740391969680786,22,22,3777,7090
50,1.0,long,high,44,M1 Base,2,44.0,22.58818221092224,22.83808207511902,22,"[(0, 10), (0, 43), (1, 0), (2, 37), (2, 49), (3, 34), (4, 36), (4, 39), (4, 45), (6, 25), (7, 14), (10, 27), (11, 42), (12, 33), (12, 48), (14, 7), (16, 46), (17, 3), (18, 21), (18, 32), (24, 20), (37, 19)]",7150,13050
50,1.0,long,high,44,M1 Opt,2,44.0,18.11784291267395,18.2339870929718,22,22,4035,7728
