n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups
10,1.0,short,low,45,M3 optimized,2,8.0,0.0014910697937011719,0.002980947494506836,,4
10,1.0,short,low,46,M1 optimized,2,8.0,0.007103919982910156,0.010468244552612305,,4
10,1.0,short,low,46,M2 optimized,2,8.0,0.0016071796417236328,0.0032548904418945312,,4
10,1.0,short,low,46,M3 optimized,2,8.0,0.0015041828155517578,0.002897977828979492,,4
10,1.0,short,high,42,M1 optimized,2,12.0,0.005049943923950195,0.00795888900756836,,6
10,1.0,short,high,42,M2 optimized,2,12.0,0.003950834274291992,0.005574703216552734,,6
10,1.0,short,high,42,M3 optimized,2,12.0,0.0011470317840576172,0.002905130386352539,,6
10,1.0,short,high,43,M1 optimized,2,14.0,0.003309965133666992,0.0076639652252197266,,7
10,1.0,short,high,43,M2 optimized,2,14.0,0.0025758743286132812,0.004178762435913086,,7
10,1.0,short,high,43,M3 optimized,2,14.0,0.0005571842193603516,0.0013680458068847656,,7
10,1.0,short,high,44,M1 optimized,2,12.0,0.008157014846801758,0.011327981948852539,,6
10,1.0,short,high,44,M2 optimized,2,12.0,0.00579380989074707,0.007452964782714844,,6
10,1.0,short,high,44,M3 optimized,2,12.0,0.0015780925750732422,0.002730846405029297,,6
10,1.0,short,high,45,M1 optimized,2,12.0,0.00533604621887207,0.010413646697998047,,6
10,1.0,short,high,45,M2 optimized,2,12.0,0.0013730525970458984,0.0027971267700195312,,6
10,1.0,short,high,45,M3 optimized,2,12.0,0.0006809234619140625,0.0015139579772949219,,6
10,1.0,short,high,46,M1 optimized,2,10.0,0.004119157791137695,0.007302284240722656,,5
10,1.0,short,high,46,M2 optimized,2,10.0,0.0013580322265625,0.002991914749145508,,5
10,1.0,short,high,46,M3 optimized,2,10.0,0.001722097396850586,0.003287076950073242,,5
10,1.0,long,low,42,M1 optimized,2,8.0,0.00624394416809082,0.010267257690429688,,4
10,1.0,long,low,42,M2 optimized,2,8.0,0.0026328563690185547,0.004608869552612305,,4
10,1.0,long,low,42,M3 optimized,2,8.0,0.0016450881958007812,0.003062009811401367,,4
10,1.0,long,low,43,M1 optimized,2,10.0,0.012306928634643555,0.015682220458984375,,5
10,1.0,long,low,43,M2 optimized,2,10.0,0.00925588607788086,0.010872125625610352,,5
10,1.0,long,low,43,M3 optimized,2,10.0,0.0022652149200439453,0.004069089889526367,,5
10,1.0,long,low,44,M1 optimized,2,8.0,0.008285045623779297,0.013332843780517578,,4
10,1.0,long,low,44,M2 optimized,2,8.0,0.0016069412231445312,0.0036551952362060547,,4
10,1.0,long,low,44,M3 optimized,2,8.0,0.002050161361694336,0.003756999969482422,,4
10,1.0,long,low,45,M1 optimized,2,8.0,0.013653039932250977,0.017754077911376953,,4
10,1.0,long,low,45,M2 optimized,2,8.0,0.004241943359375,0.00568699836730957,,4
10,1.0,long,low,45,M3 optimized,2,8.0,0.0015819072723388672,0.003129243850708008,,4
10,1.0,long,low,46,M1 optimized,2,8.0,0.005760908126831055,0.009428977966308594,,4
10,1.0,long,low,46,M2 optimized,2,8.0,0.0018811225891113281,0.0046880245208740234,,4
10,1.0,long,low,46,M3 optimized,2,8.0,0.0019080638885498047,0.003403186798095703,,4
10,1.0,long,high,42,M1 optimized,2,12.0,0.00513005256652832,0.00824594497680664,,6
10,1.0,long,high,42,M2 optimized,2,12.0,0.0037360191345214844,0.005593061447143555,,6
10,1.0,long,high,42,M3 optimized,2,12.0,0.0008220672607421875,0.0018820762634277344,,6
10,1.0,long,high,43,M1 optimized,2,14.0,0.003921031951904297,0.007440805435180664,,7
10,1.0,long,high,43,M2 optimized,2,14.0,0.002763032913208008,0.005627155303955078,,7
10,1.0,long,high,43,M3 optimized,2,14.0,0.0006210803985595703,0.0014750957489013672,,7
10,1.0,long,high,44,M1 optimized,2,12.0,0.007588863372802734,0.011075019836425781,,6
10,1.0,long,high,44,M2 optimized,2,12.0,0.005338907241821289,0.006724834442138672,,6
10,1.0,long,high,44,M3 optimized,2,12.0,0.001425027847290039,0.002489805221557617,,6
10,1.0,long,high,45,M1 optimized,2,12.0,0.004561185836791992,0.009679079055786133,,6
10,1.0,long,high,45,M2 optimized,2,12.0,0.0013151168823242188,0.0027379989624023438,,6
10,1.0,long,high,45,M3 optimized,2,12.0,0.0006558895111083984,0.0014531612396240234,,6
