T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
5,IX,0,508042,47,M1 Opt,2,44.0,0.29752087593078613,0.3173346519470215,22,22,1540,2045
5,IX,0,508042,47,M2 Opt,2,44.0,0.13275909423828125,0.17315101623535156,22,22,1334,3524
5,IX,0,508042,47,M3 Opt,2,44.0,0.02007317543029785,0.0318760871887207,22,22,557,1188
5,IX,1,508043,45,M1 Opt,2,34.0,0.37541985511779785,0.3933291435241699,17,17,1419,1892
5,IX,1,508043,45,M2 Opt,2,34.0,0.4663569927215576,0.5020241737365723,17,17,1227,3239
5,IX,1,508043,45,M3 Opt,2,34.0,0.0911109447479248,0.10404086112976074,17,17,629,1331
5,IX,2,508044,51,M1 Opt,2,48.0,0.14388298988342285,0.16625189781188965,24,24,1770,2315
5,IX,2,508044,51,M2 Opt,2,48.0,0.23458099365234375,0.2844221591949463,24,24,1548,4130
5,IX,2,508044,51,M3 Opt,2,48.0,0.08714485168457031,0.10284185409545898,24,24,712,1462
5,X,0,509042,46,M1 Opt,2,54.0,0.06060194969177246,0.07959699630737305,27,27,1495,2000
5,X,0,509042,46,M2 Opt,2,54.0,0.165816068649292,0.20424962043762207,27,27,1288,3380
5,X,0,509042,46,M3 Opt,2,54.0,0.03624892234802246,0.0472567081451416,27,27,507,1047
5,X,1,509043,46,M1 Opt,2,44.0,0.15330719947814941,0.17189621925354004,22,22,1453,1958
5,X,1,509043,46,M2 Opt,2,44.0,0.20095396041870117,0.23986291885375977,22,22,1246,3380
5,X,1,509043,46,M3 Opt,2,44.0,0.6183390617370605,0.6307001113891602,22,22,584,1212
5,X,2,509044,39,M1 Opt,2,44.0,0.21433711051940918,0.22794389724731445,22,22,1090,1481
5,X,2,509044,39,M2 Opt,2,44.0,0.1575450897216797,0.1821889877319336,22,22,933,2456
5,X,2,509044,39,M3 Opt,2,44.0,0.032356977462768555,0.040538787841796875,22,22,406,831
7,I,0,700042,15,M1 Opt,2,14.0,0.01760411262512207,0.0218198299407959,7,7,300,509
7,I,0,700042,15,M2 Opt,2,14.0,0.009476184844970703,0.013069868087768555,7,7,210,404
7,I,0,700042,15,M3 Opt,2,14.0,0.0024878978729248047,0.004411220550537109,7,7,91,217
7,I,1,700043,15,M1 Opt,2,16.0,0.016783952713012695,0.020949602127075195,8,8,300,509
7,I,1,700043,15,M2 Opt,2,16.0,0.010252952575683594,0.01383209228515625,8,8,210,404
7,I,1,700043,15,M3 Opt,2,16.0,0.0030579566955566406,0.0045239925384521484,8,8,71,162
7,I,2,700044,15,M1 Opt,2,14.0,0.010993003845214844,0.015149116516113281,7,7,300,509
7,I,2,700044,15,M2 Opt,2,14.0,0.004756927490234375,0.008309125900268555,7,7,210,404
7,I,2,700044,15,M3 Opt,2,14.0,0.0028181076049804688,0.004508256912231445,7,7,84,193
7,II,0,701042,24,M1 Opt,2,24.0,0.025454998016357422,0.03355693817138672,12,12,582,911
7,II,0,701042,24,M2 Opt,2,24.0,0.02491307258605957,0.03401517868041992,12,12,441,971
7,II,0,701042,24,M3 Opt,2,24.0,0.007739067077636719,0.01142573356628418,12,12,181,414
7,II,1,701043,24,M1 Opt,2,16.0,0.03702902793884277,0.04508209228515625,8,8,580,907
7,II,1,701043,24,M2 Opt,2,16.0,0.035681962966918945,0.04471993446350098,8,8,440,971
7,II,1,701043,24,M3 Opt,2,16.0,0.0100860595703125,0.014884233474731445,8,8,235,538
7,II,2,701044,23,M1 Opt,2,28.0,0.015451908111572266,0.0229339599609375,14,14,544,857
7,II,2,701044,23,M2 Opt,2,28.0,0.00865793228149414,0.016936063766479492,14,14,410,896
7,II,2,701044,23,M3 Opt,2,28.0,0.0021698474884033203,0.003911018371582031,14,14,95,197
7,III,0,702042,30,M1 Opt,2,26.0,0.05941605567932129,0.07091188430786133,13,13,825,1244
7,III,0,702042,30,M2 Opt,2,26.0,0.08713197708129883,0.10174274444580078,13,13,645,1484
7,III,0,702042,30,M3 Opt,2,26.0,0.025264978408813477,0.030989885330200195,13,13,275,603
7,III,1,702043,29,M1 Opt,2,28.0,0.06513190269470215,0.07598996162414551,14,14,783,1188
7,III,1,702043,29,M2 Opt,2,28.0,0.0456080436706543,0.05927681922912598,14,14,609,1391
7,III,1,702043,29,M3 Opt,2,28.0,0.009037017822265625,0.013869047164916992,14,14,233,524
7,III,2,702044,29,M1 Opt,2,30.0,0.03408312797546387,0.04496407508850098,15,15,787,1196
7,III,2,702044,29,M2 Opt,2,30.0,0.022085905075073242,0.03564596176147461,15,15,611,1391
7,III,2,702044,29,M3 Opt,2,30.0,0.006932973861694336,0.011768817901611328,15,15,238,543
7,IV,0,703042,36,M1 Opt,2,30.0,0.06916999816894531,0.0845789909362793,15,15,1104,1613
7,IV,0,703042,36,M2 Opt,2,30.0,0.07288312911987305,0.09510207176208496,15,15,885,2105
7,IV,0,703042,36,M3 Opt,2,30.0,0.02521991729736328,0.034082651138305664,15,15,410,906
7,IV,1,703043,37,M1 Opt,2,36.0,0.10448789596557617,0.12034201622009277,18,18,1151,1672
7,IV,1,703043,37,M2 Opt,2,36.0,0.08912181854248047,0.1121518611907959,18,18,927,2219
7,IV,1,703043,37,M3 Opt,2,36.0,0.023463964462280273,0.0320589542388916,18,18,397,888
7,IV,2,703044,38,M1 Opt,2,34.0,0.05337810516357422,0.06986498832702637,17,17,1191,1716
7,IV,2,703044,38,M2 Opt,2,34.0,0.05210590362548828,0.07690691947937012,17,17,966,2336
7,IV,2,703044,38,M3 Opt,2,34.0,0.012228965759277344,0.019780874252319336,17,17,362,804
7,V,0,704042,45,M1 Opt,2,38.0,1.058053970336914,1.0802419185638428,19,19,1575,2204
7,V,0,704042,45,M2 Opt,2,38.0,6.113245010375977,6.150616884231567,19,19,1305,3239
7,V,0,704042,45,M3 Opt,2,38.0,0.16387200355529785,0.1768336296081543,19,19,576,1251
7,V,1,704043,43,M1 Opt,2,42.0,0.12534594535827637,0.14595389366149902,21,21,1468,2075
7,V,1,704043,43,M2 Opt,2,42.0,0.08283209800720215,0.11595988273620605,21,21,1207,2966
7,V,1,704043,43,M3 Opt,2,42.0,0.02214503288269043,0.03126072883605957,21,21,422,936
7,V,2,704044,44,M1 Opt,2,40.0,3.711400032043457,3.7324819564819336,20,20,1522,2141
7,V,2,704044,44,M2 Opt,2,40.0,1.0887670516967773,1.1399402618408203,20,20,1256,3101
7,V,2,704044,44,M3 Opt,2,40.0,0.14329195022583008,0.1559290885925293,20,20,541,1180
7,VI,0,705042,67,M1 Opt,2,34.0,0.7810871601104736,0.8233661651611328,17,17,3000,3855
7,VI,0,705042,67,M2 Opt,2,34.0,1.144798994064331,1.2318990230560303,17,17,2639,7034
7,VI,0,705042,67,M3 Opt,2,34.0,0.8207190036773682,0.8582010269165039,17,17,1662,3513
7,VI,1,705043,67,M1 Opt,2,42.0,1.3484740257263184,1.390467643737793,21,21,3000,3855
7,VI,1,705043,67,M2 Opt,2,42.0,1.0368499755859375,1.122664213180542,21,21,2639,7034
7,VI,1,705043,67,M3 Opt,2,42.0,0.4804379940032959,0.5130610466003418,21,21,1360,2876
7,VI,2,705044,58,M1 Opt,2,34.0,0.2290360927581787,0.2637050151824951,17,17,2345,3094
7,VI,2,705044,58,M2 Opt,2,34.0,1.0055010318756104,1.0696468353271484,17,17,2028,5306
7,VI,2,705044,58,M3 Opt,2,34.0,0.23258709907531738,0.2726278305053711,17,17,1157,2479
7,VII,0,706042,44,M1 Opt,2,34.0,0.14296698570251465,0.1660161018371582,17,17,1520,2137
7,VII,0,706042,44,M2 Opt,2,34.0,0.17011189460754395,0.20603013038635254,17,17,1255,3101
7,VII,0,706042,44,M3 Opt,2,34.0,0.037094831466674805,0.05040311813354492,17,17,592,1308
7,VII,1,706043,43,M1 Opt,2,40.0,0.641834020614624,0.6626067161560059,20,20,1472,2083
7,VII,1,706043,43,M2 Opt,2,40.0,0.394244909286499,0.42864203453063965,20,20,1209,2966
7,VII,1,706043,43,M3 Opt,2,40.0,0.045240163803100586,0.05683493614196777,20,20,510,1097
7,VII,2,706044,45,M1 Opt,2,32.0,0.32047295570373535,0.3426859378814697,16,16,1575,2204
7,VII,2,706044,45,M2 Opt,2,32.0,0.1829679012298584,0.22253704071044922,16,16,1305,3239
7,VII,2,706044,45,M3 Opt,2,32.0,0.1351640224456787,0.15098118782043457,16,16,680,1499
7,VIII,0,707042,53,M1 Opt,2,44.0,5.648936033248901,5.676074981689453,22,22,1953,2610
7,VIII,0,707042,53,M2 Opt,2,44.0,68.23190498352051,68.28578209877014,22,22,1677,4451
7,VIII,0,707042,53,M3 Opt,2,44.0,3.181272029876709,3.2002599239349365,22,22,790,1641
7,VIII,1,707043,41,M1 Opt,2,40.0,0.4016280174255371,0.4255869388580322,20,20,1327,1906
7,VIII,1,707043,41,M2 Opt,2,40.0,0.27919602394104004,0.3150169849395752,20,20,1078,2705
7,VIII,1,707043,41,M3 Opt,2,40.0,0.04061698913574219,0.05221199989318848,20,20,437,965
7,VIII,2,707044,49,M1 Opt,2,42.0,4.885783910751343,4.912534952163696,21,21,1673,2232
7,VIII,2,707044,49,M2 Opt,2,42.0,3.5801570415496826,3.637519121170044,21,21,1442,3821
7,VIII,2,707044,49,M3 Opt,2,42.0,0.2817401885986328,0.30289316177368164,21,21,759,1590
7,IX,0,708042,64,M1 Opt,2,42.0,0.543144941329956,0.5895450115203857,21,21,2796,3639
7,IX,0,708042,64,M2 Opt,2,42.0,1.1998159885406494,1.2914719581604004,21,21,2438,6431
7,IX,0,708042,64,M3 Opt,2,42.0,0.4031810760498047,0.439838171005249,21,21,1330,2818
7,IX,1,708043,63,M1 Opt,2,40.0,0.48857998847961426,0.5369691848754883,20,20,2744,3597
7,IX,1,708043,63,M2 Opt,2,40.0,1.6541929244995117,1.748892068862915,20,20,2380,6236
7,IX,1,708043,63,M3 Opt,2,40.0,0.3135240077972412,0.3507421016693115,20,20,1332,2841
7,IX,2,708044,69,M1 Opt,2,46.0,0.3166780471801758,0.3827040195465088,23,23,3074,3901
7,IX,2,708044,69,M2 Opt,2,46.0,0.6300249099731445,0.7371199131011963,23,23,2729,7451
7,IX,2,708044,69,M3 Opt,2,46.0,0.15247702598571777,0.19939780235290527,23,23,1700,3549
7,X,0,709042,51,M1 Opt,2,53.0,0.5480320453643799,0.5771892070770264,26,27,1841,2510
7,X,0,709042,51,M2 Opt,2,53.0,1.5860011577606201,1.6455531120300293,26,27,1557,4130
7,X,0,709042,51,M3 Opt,2,53.0,0.06336116790771484,0.07876300811767578,26,27,601,1262
7,X,1,709043,52,M1 Opt,2,44.0,20.213210105895996,20.240795850753784,22,22,1857,2452
7,X,1,709043,52,M2 Opt,2,44.0,6.247955083847046,6.311276912689209,22,22,1611,4289
7,X,1,709043,52,M3 Opt,2,44.0,0.22005510330200195,0.24193286895751953,22,22,751,1570
7,X,2,709044,51,M1 Opt,2,44.0,5.436292886734009,5.464606046676636,22,22,1733,2296
7,X,2,709044,51,M2 Opt,2,44.0,5.947852849960327,6.010249853134155,22,22,1502,4130
7,X,2,709044,51,M3 Opt,2,44.0,0.3139359951019287,0.33574914932250977,22,22,747,1533
10,I,0,1000042,18,M1 Opt,2,14.0,0.04063606262207031,0.051837921142578125,7,7,459,782
10,I,0,1000042,18,M2 Opt,2,14.0,0.022485971450805664,0.02960801124572754,7,7,315,566
10,I,0,1000042,18,M3 Opt,2,14.0,0.009521961212158203,0.013325929641723633,7,7,120,299
10,I,1,1000043,18,M1 Opt,2,12.0,0.0233609676361084,0.03202509880065918,6,6,459,782
10,I,1,1000043,18,M2 Opt,2,12.0,0.010509014129638672,0.02028799057006836,6,6,315,566
10,I,1,1000043,18,M3 Opt,2,12.0,0.007843971252441406,0.012121200561523438,6,6,143,361
10,I,2,1000044,18,M1 Opt,2,18.0,0.021893978118896484,0.03057408332824707,9,9,459,782
10,I,2,1000044,18,M2 Opt,2,18.0,0.024755001068115234,0.03118109703063965,9,9,315,566
10,I,2,1000044,18,M3 Opt,2,18.0,0.00473785400390625,0.00831913948059082,9,9,121,302
10,II,0,1001042,30,M1 Opt,2,22.0,0.13901305198669434,0.15567398071289062,11,11,929,1452
10,II,0,1001042,30,M2 Opt,2,22.0,0.1884160041809082,0.20758390426635742,11,11,697,1484
